AuthorityName,authority_id,Region,Sector,FOISA requests,FOISA closed - unclear,FOISA closed - withdrawn,FOISA fees notice,FOISA - fees paid,FOISA response on time,FOISA response late,FOISA - faliure to respond,FOISA refused - cost,FOISA - vexatious,FOISA - repeated,FOISA - full release,FOISA - none released,FOISA - some released,FOISA - none held ,FOISA - no confirm/deny,EIR requests,EIR closed - unclear ,EIR closed - withdrawn,EIRs fees notice,EIRs - fees paid,EIRs response on time,EIRs response late,EIRs - failure to respond,EIR timescale extended,EIRs refused - cost,EIRs - manifestly unreasonable,EIRs - full release,EIRs - none released ,EIRs - some released,EIRs - none held,EIRs - no confirm/deny,Subject Access Requests,FOISA reviews ,FOISA review - on time,FOISA review - late response,FOISA review - failure to respond,FOISA review - wholly/partially upheld,FOISA review - substituted decision,FOISA review - decision reached ,EIRs reviews,EIRs review - on time,EIRs review - late response ,EIRs review - failure to respond,EIR review - upheld,EIR review - not upheld,Otherwise accessible,Publication Scheme ,Disclosure prohibited: enactment ,Disclosure prohibited: EU obligation,Disclosure prohibited: Contempt of Court,Future publication: 12 weeks,Future publication: programme of research,Substantial prejudice to UK relations ,Formulation/development of government policy,Ministerial communications,Advice by Law Officers,Operation of Ministerial private office,Substantial prejudice to collective responsibility of Scottish Ministers,Substantial inhibition to free and frank provision of advice,Substantial inhibition to free and frank exchange of views,Substantial prejudice to effective conduct of public affairs,National security,Substantial prejudice to defence ,Substantial prejudice to international relations,Confidential information obtained from abroad,Trade secret,Substantial prejudice to commercial interests,Substantial prejudice to the economic interests of the UK,Substantial prejudice to the financial interests of a UK administration,Information held for the purposes of a criminal investigation,Information held for ongoing Fatal Accident Inquiry,Information held regarding cause of death,Information relating to the obtaining of information from confidential sources,Information held for purposes of civil proceedings arising out of investigations,Substantial prejudice to prevention or detection of crime,Substantial prejudice to apprehension or prosecution of offenders,Substantial prejudice to administration of justice,Substantial prejudice to assessment or collection of tax or duty,Substantial prejudice to operation of immigration controls,Substantial prejudice to maintenance of security and good order in prisons,Substantial prejudice to the exercise by a public authority for any of its functions,Substantial prejudice to civil proceedings brought by an authority,Confidentiality of communications,Actionable breach of confidence,Court records,Court records: inquiry or arbitration,Personal data of the applicant,Third party personal data ,Personal census information,Deceased person's health record,Endangerment to health or safety,Environmental information ,Substantial prejudice to audit function,Communications with the Royal Family and honours,Material in course of completion,Internal Communications,Substantial prejudice to international relations public safety etc.,Substantial prejudice to course of justice etc.,Substantial prejudice to intellectual property rights,Substantial prejudice to confidentiality of proceedings,Substantial prejudice to confidentiality of commercial or industrial information ,Substantial prejudice to the interests of a third party,Substantial prejudice to the protection of the environment,Neither confirm nor deny whether environmental information held,Personal data of the applicant,Third party personal data,Neither confirm or deny whether personal data held
Assessor & Electoral Registration Officer for Dumfries and Galloway,16,Dumfries and Galloway,Local Government,4,0,0,0,0,4,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Fife Council,18,Fife,Local Government,24,9,2,0,0,12,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Grampian Valuation Joint Board & Grampian Valuation Joint Board,20,Grampian,Local Government,9,0,0,0,0,9,0,0,0,0,0,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Highland and Western Isles Valuation Joint Board,21,Highland and Islands,Local Government,12,0,0,0,0,8,1,1,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Lanarkshire Valuation Joint Board,22,Strathclyde,Local Government,11,0,0,0,0,11,0,0,0,0,0,4,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Lothian Valuation Joint Board and the Lothian Valuation Joint Board,23,Lothian and Borders,Local Government,14,0,0,0,0,13,1,0,0,0,0,10,0,2,2,0,,,,,,,,,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Scottish Borders Council,26,Lothian and Borders,Local Government,8,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Tayside Valuation Joint Board,27,Tayside,Local Government,6,,,,,1,,,,,,5,1,,,,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Audit Scotland,28,National,Others e.g. NDPBs,50,1,2,0,0,47,1,0,0,0,1,24,0,8,14,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Auditor General for Scotland,29,National,Others e.g. NDPBs,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ayrshire and Arran Health Board,31,Ayrshire,National Health Service,585,2,5,0,0,469,61,0,13,0,0,335,23,162,23,0,6,1,0,0,0,2,3,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,35,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ayrshire Valuation Joint Board,32,Ayrshire,Local Government,8,,,,,8,,,,,,3,1,,4,,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Board of Trustees for the National Galleries of Scotland,34,National,Others e.g. NDPBs,14,0,0,0,0,13,1,0,0,0,0,13,0,1,0,0,1,,,,,1,,,,,,1,,,,,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Board of Trustees of the National Museums of Scotland,35,National,Others e.g. NDPBs,18,0,0,0,0,18,0,0,0,0,0,13,1,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Board of Trustees of the Royal Botanic Garden Edinburgh,36,Lothian and Borders,Others e.g. NDPBs,9,0,0,0,0,9,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bord na Gaidhlig,37,National,Others e.g. NDPBs,17,,,,,17,,,3,,,4,2,5,3,,0,,,,,,,,,,,,,,,,,4,4,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borders College,38,Lothian and Borders,Educational Institutions,36,0,0,1,0,31,4,0,0,0,0,31,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borders Health Board,39,Lothian and Borders,National Health Service,597,0,1,0,0,551,7,0,28,0,0,264,0,211,115,0,2,0,0,0,0,2,,,0,0,0,0,0,,,0,527,4,4,0,0,3,1,0,0,0,0,0,0,0,45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cairngorms National Park Authority,40,Highland and Islands,Others e.g. NDPBs,14,0,0,0,0,14,0,0,1,0,0,12,0,1,1,0,22,0,2,0,0,18,0,0,0,1,1,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City of Edinburgh Council,45,Lothian and Borders,Local Government,1612,82,34,4,0,1421,164,2,101,0,2,625,323,520,422,5,1091,40,8,17,3,957,131,3,8,12,8,494,266,324,282,0,524,67,69,2,0,50,17,2,81,74,0,0,57,17,131,4,0,0,0,7,0,0,0,0,0,0,3,1,5,50,1,0,0,0,0,39,0,0,7,0,0,0,0,1,1,1,0,0,0,4,0,3,2,0,0,14,109,0,0,3,0,0,0,5,12,0,49,7,5,21,1,0,0,37,212,0
City of Edinburgh Licensing Board,46,Lothian and Borders,Local Government,13,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clackmannanshire Council and Licensing Board,47,Central,Local Government,985,3,2,,,921,64,2,5,2,,908,14,7,13,2,,,,,,,,,,,,,,,,,,8,8,0,0,6,0,2,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comhairle nan Eilean Siar,51,Highland and Islands,Local Government,990,4,4,7,0,934,38,2,4,0,0,921,1,6,12,0,25,0,0,0,0,22,1,2,0,0,0,26,0,0,0,0,18,7,7,0,0,5,1,3,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crofting Commission,52,National,Others e.g. NDPBs,80,,1,,,76,3,,,,1,50,1,24,4,,0,,,,,,,,,,,,,,,,3,8,8,0,0,6,2,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,5,5,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crown Office and Procurator Fiscal Service,53,National,Non Ministerial Officeholders,295,0,23,0,0,226,54,2,27,0,1,81,63,48,43,0,4,0,1,0,0,1,2,0,0,0,0,2,0,1,0,0,57,48,38,7,0,43,2,0,1,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,2,10,1,0,0,0,0,0,0,0,0,0,18,1,6,0,0,14,12,11,0,0,0,0,0,2,0,0,0,0,45,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dumfries and Galloway College,55,Dumfries and Galloway,Educational Institutions,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumfries and Galloway Council,56,Dumfries and Galloway,Local Government,1083,2,11,0,0,1010,49,11,35,0,0,597,50,219,160,4,161,1,0,0,0,152,7,0,0,3,1,102,6,32,19,0,32,18,18,0,0,15,2,1,2,2,0,0,1,0,27,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,2,7,0,0,0,96,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,9,0
Dumfries and Galloway Licensing Board,57,Dumfries and Galloway,Local Government,15,0,0,0,0,14,1,0,0,0,0,10,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumfries and Galloway Health Board,58,Dumfries and Galloway,National Health Service,569,3,3,,,527,36,,29,,,382,44,94,56,8,14,,,,,10,1,,,,,11,,1,,,461,12,9,1,1,4,1,0,0,0,1,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,3,52,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dunbartonshire and Argyll and Bute Valuation Joint Board and Assessor Dunbartonshire and Argyll and Bute Valuation Joint Board,59,Strathclyde,Local Government,17,,,0,,14,0,,,,,9,0,5,3,,0,,,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dundee City Council and Licensing Board,60,Tayside,Local Government,1290,4,8,0,0,992,148,27,49,0,0,882,47,157,60,0,299,0,5,115,26,185,14,12,0,0,0,146,2,2,14,0,64,22,14,5,0,11,3,7,10,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,34,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
East Ayrshire Council,63,Ayrshire,Local Government,1062,9,11,2,0,945,117,0,11,0,0,832,14,121,66,0,120,0,2,1,0,103,17,0,2,0,0,101,0,12,3,0,10,3,3,0,0,3,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,20,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,3,0,0
East Ayrshire Licensing Board,64,Ayrshire,Local Government,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Dunbartonshire Council and Licensing Board,65,Strathclyde,Local Government,1088,31,8,0,0,935,96,57,5,0,0,703,22,192,49,0,120,1,0,0,0,112,6,2,0,0,1,94,16,5,2,0,35,20,10,4,6,8,4,2,14,8,3,3,10,3,45,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
East Lothian Council,67,Lothian and Borders,Local Government,1151,44,10,5,1,975,108,0,19,0,1,608,125,302,85,5,143,4,0,6,4,119,17,0,2,1,0,78,25,32,11,0,7,21,17,3,0,11,0,0,5,2,3,0,2,2,76,0,1,0,0,4,0,0,0,0,0,0,0,0,7,8,3,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,1,0,0,8,48,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0
East Lothian Licensing Board,68,Lothian and Borders,Local Government,5,0,0,0,0,4,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
