AuthorityName,Region,Sector,authority_id,FOISA requests,FOISA closed - unclear,FOISA closed - withdrawn,FOISA fees notice,FOISA - fees paid,FOISA response on time,FOISA response late,FOISA - faliure to respond,FOISA refused - cost,FOISA - vexatious,FOISA - repeated,FOISA - full release,FOISA - none released,FOISA - some released,FOISA - none held ,FOISA - no confirm/deny,EIR requests,EIR closed - unclear ,EIR closed - withdrawn,EIRs fees notice,EIRs - fees paid,EIRs response on time,EIRs response late,EIRs - failure to respond,EIR timescale extended,EIRs refused - cost,EIRs - manifestly unreasonable,EIRs - full release,EIRs - none released ,EIRs - some released,EIRs - none held,EIRs - no confirm/deny,Subject Access Requests,FOISA reviews ,FOISA review - on time,FOISA review - late response,FOISA review - failure to respond,FOISA review - wholly/partially upheld,FOISA review - substituted decision,FOISA review - decision reached ,EIRs reviews,EIRs review - on time,EIRs review - late response ,EIRs review - failure to respond,EIR review - upheld,EIR review - not upheld,Otherwise accessible,Publication Scheme ,Disclosure prohibited: enactment ,Disclosure prohibited: EU obligation,Disclosure prohibited: Contempt of Court,Future publication: 12 weeks,Future publication: programme of research,Substantial prejudice to UK relations ,Formulation/development of government policy,Ministerial communications,Advice by Law Officers,Operation of Ministerial private office,Substantial prejudice to collective responsibility of Scottish Ministers,Substantial inhibition to free and frank provision of advice,Substantial inhibition to free and frank exchange of views,Substantial prejudice to effective conduct of public affairs,National security,Substantial prejudice to defence ,Substantial prejudice to international relations,Confidential information obtained from abroad,Trade secret,Substantial prejudice to commercial interests,Substantial prejudice to the economic interests of the UK,Substantial prejudice to the financial interests of a UK administration,Information held for the purposes of a criminal investigation,Information held for ongoing Fatal Accident Inquiry,Information held regarding cause of death,Information relating to the obtaining of information from confidential sources,Information held for purposes of civil proceedings arising out of investigations,Substantial prejudice to prevention or detection of crime,Substantial prejudice to apprehension or prosecution of offenders,Substantial prejudice to administration of justice,Substantial prejudice to assessment or collection of tax or duty,Substantial prejudice to operation of immigration controls,Substantial prejudice to maintenance of security and good order in prisons,Substantial prejudice to the exercise by a public authority for any of its functions,Substantial prejudice to civil proceedings brought by an authority,Confidentiality of communications,Actionable breach of confidence,Court records,Court records: inquiry or arbitration,Personal data of the applicant,Third party personal data ,Personal census information,Deceased person's health record,Endangerment to health or safety,Environmental information ,Substantial prejudice to audit function,Communications with the Royal Family and honours,Material in course of completion,Internal Communications,Substantial prejudice to international relations public safety etc.,Substantial prejudice to course of justice etc.,Substantial prejudice to intellectual property rights,Substantial prejudice to confidentiality of proceedings,Substantial prejudice to confidentiality of commercial or industrial information ,Substantial prejudice to the interests of a third party,Substantial prejudice to the protection of the environment,Neither confirm nor deny whether environmental information held,Personal data of the applicant,Third party personal data,Neither confirm or deny whether personal data held
Forth Valley Health Board,Central,National Health Service,79,636,3,2,0,0,578,60,1,47,0,1,378,29,107,38,0,17,0,0,0,0,14,3,0,0,0,2,12,0,2,2,0,1043,12,8,4,0,3,4,0,2,2,0,0,1,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Teaching Council for Scotland,National,Others e.g. NDPBs,80,67,1,0,2,0,62,1,0,2,0,1,40,7,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6,6,0,0,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,
Glasgow Caledonian University,Strathclyde,Educational Institutions,81,322,10,4,0,0,298,18,0,1,0,0,220,3,73,13,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,59,4,4,0,0,4,1,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,1,13,,,,,,,,,,,,,,,,,,,
Glasgow City Council,Strathclyde,Local Government,82,3088,1,21,0,0,2998,76,4,65,9,2,941,371,723,205,9,236,0,0,60,27,227,10,1,0,1,17,93,6,55,11,0,1152,102,96,6,0,47,39,16,31,29,2,0,19,6,138,,14,,,4,,0,0,,,,,,,23,1,,1,,60,,,,0,,,,,7,,,,,,,,26,,0,,,347,,,12,,0,0,,,0,0,,0,1,,1,0,9,26,
City of Glasgow Licensing Board,Strathclyde,Local Government,83,8,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Glasgow School of Art,Strathclyde,Educational Institutions,85,116,7,0,0,0,105,2,0,0,0,0,65,4,34,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,,,,1,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,1,,,,7,,,,,,,,,,,,,,,,,,,
Grampian Health Board,Grampian,National Health Service,86,787,2,7,0,0,730,56,1,82,0,0,367,64,345,312,0,18,0,0,0,0,16,2,0,0,2,0,9,1,8,10,0,2079,8,8,0,0,6,3,0,1,1,0,0,0,1,23,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,195,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Greater Glasgow Health Board,Strathclyde,National Health Service,88,1035,13,6,0,0,874,155,5,16,1,9,556,54,300,81,0,9,0,0,0,0,8,6,0,0,0,0,7,0,1,3,0,11765,24,5,25,4,22,6,3,3,0,2,3,2,0,12,0,0,0,0,4,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Heriot-Watt University,Lothian and Borders,Educational Institutions,93,231,4,5,0,0,177,45,0,0,0,0,140,0,74,3,0,5,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,13,4,4,0,0,3,1,0,0,0,0,0,0,0,2,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,
Highland and Western Isles Valuation Joint Board,Highland and Islands,Local Government,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Highland Council and Licensing Board,Highland and Islands,Local Government,95,1615,11,33,0,0,1210,404,1,27,1,0,1078,59,197,169,0,263,4,3,0,0,227,36,0,5,0,1,210,6,18,21,0,14,24,15,8,1,11,3,8,16,9,4,3,6,7,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,7,12,0,0,0,0,0,0,0,0,1,0,0,0,1,3,3,0,0,4,0
Highland Health Board,Highland and Islands,National Health Service,97,767,7,5,0,0,648,96,1,13,0,0,643,16,71,15,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,4,7,1,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,
Highlands and Islands Enterprise,Highland and Islands,Others e.g. NDPBs,98,113,3,2,0,0,100,9,1,0,0,0,78,0,28,4,0,10,1,0,0,0,8,1,0,4,0,0,5,0,4,0,0,0,8,8,0,0,7,0,0,8,6,2,0,7,1,2,,,,,2,,,,,,,,1,1,1,,,,,,14,,,,,,,,,,,,,,,,1,,,,,15,,,,,,,5,2,1,,,,2,,,,,2,
Inverclyde Council,Strathclyde,Local Government,100,1282,13,9,0,0,1128,113,0,5,0,0,1145,69,25,42,0,16,0,0,0,0,16,0,0,0,0,0,14,1,1,0,0,64,12,5,3,1,3,4,1,2,0,1,0,1,1,14,,,,,4,,,,,,,,,,2,,,,,1,2,,,,,,,,9,,,,,,,,,2,,,,7,,,,,,,,,,,,,,,,,,3,
Inverclyde Licensing Board,Strathclyde,Local Government,101,4,0,0,0,0,4,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inverness College,Highland and Islands,Educational Institutions,102,12,2,0,0,0,11,2,1,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keeper of the Registers of Scotland,National,Non Ministerial Officeholders,105,101,1,2,0,0,101,0,0,0,0,0,24,35,44,11,0,0,,,,,,,,0,0,0,,,,,,21,3,3,0,0,3,0,0,0,,,,,,34,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,7,35,,,,,,,,,,,,,,,,,,,
Lanarkshire Health Board,Strathclyde,National Health Service,108,643,1,4,0,0,519,118,0,7,0,2,275,53,309,23,0,37,0,0,0,0,30,9,0,0,3,0,6,14,15,16,0,,4,6,0,0,5,1,0,2,1,0,0,1,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,11,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9,56,0,0,0,7,0,0,1,0,0,1,0,0,1,0,0,0,0,3,0
Lanarkshire Valuation Joint Board,Strathclyde,Local Government,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lews Castle College,Highland and Islands,Educational Institutions,112,112,0,0,0,0,110,0,0,0,0,0,110,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Local Government Boundary Commission for Scotland,National,Others e.g. NDPBs,113,18,0,0,0,0,20,0,0,0,0,1,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Lomond and The Trossachs National Park Authority,Strathclyde,Others e.g. NDPBs,114,22,1,1,0,0,20,0,0,0,0,0,10,0,4,6,0,32,0,0,0,0,31,1,0,1,0,0,8,0,21,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,1,,,,,2,6,,,,5,
Lothian Health Board,Lothian and Borders,National Health Service,115,662,3,6,0,0,578,69,5,112,1,1,309,99,240,72,0,19,0,0,0,0,13,4,2,6,1,1,8,1,8,2,0,27,13,12,1,0,5,6,0,2,2,2,0,2,2,49,2,,,,2,,,,,,,1,5,4,4,2,,,,,1,,,,,,,,2,,,,,,2,,1,1,,,7,135,5,1,1,,,,1,,,,,,1,1,,,,5,
Mental Welfare Commission for Scotland,National,Others e.g. NDPBs,118,20,0,0,0,0,20,0,0,0,0,0,8,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,0,0,0,0,1,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Midlothian Council,Lothian and Borders,Local Government,119,1386,0,14,0,0,1181,116,71,4,0,0,1274,11,4,7,0,31,0,0,0,0,28,3,0,0,0,0,31,0,0,0,0,119,7,6,1,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Midlothian Licensing Board,Lothian and Borders,Local Government,120,17,0,0,0,0,14,3,0,0,0,0,17,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moray College,Grampian,Educational Institutions,121,16,0,0,0,0,14,2,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moray Council and Licensing Board,Grampian,Local Government,122,1229,35,1,0,0,1169,59,1,43,0,0,556,217,391,43,3,170,2,0,0,0,169,1,0,1,2,0,96,21,48,14,0,57,17,16,0,1,14,2,0,1,1,0,0,0,1,212,0,0,0,0,13,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,124,0,0,0,8,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0
Edinburgh Napier University,Lothian and Borders,Educational Institutions,125,325,12,2,0,0,292,17,0,1,0,0,213,21,75,14,3,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,14,7,9,0,0,5,4,0,0,0,0,0,0,0,29,,,,,1,,,,,,,,,1,,,,,,,11,,,,,,,,3,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,
Newbattle Abbey College,Lothian and Borders,Educational Institutions,126,10,0,0,0,0,9,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS 24,National,National Health Service,127,125,1,6,0,0,125,3,0,0,0,3,23,1,26,32,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,260,6,6,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Education for Scotland,National,National Health Service,128,50,0,2,0,0,49,1,0,1,0,0,23,0,15,13,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Health Scotland,National,National Health Service,129,13,0,0,0,0,13,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS National Services Scotland,National,National Health Service,130,513,2,6,1,0,466,7,0,13,1,0,126,60,79,208,0,16,1,0,0,0,9,1,0,0,0,0,8,0,0,8,0,105,8,7,0,0,5,2,0,0,0,0,0,0,0,41,1,0,0,0,7,0,0,1,0,0,0,0,8,7,1,0,0,0,0,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,13,30,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Ayrshire Council and Licensing Board,Ayrshire,Local Government,131,1223,8,1,1,0,1134,81,8,20,0,0,594,0,336,267,0,294,3,3,1,0,272,19,2,1,1,1,152,0,76,71,0,9,30,28,2,0,22,7,1,5,4,1,0,3,2,64,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Highland College,Highland and Islands,Educational Institutions,134,20,0,0,0,0,19,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Lanarkshire Council and Licensing Board,Strathclyde,Local Government,135,1357,14,2,0,0,1322,24,2,83,0,0,604,216,383,142,9,279,2,2,0,0,281,1,0,7,25,2,106,22,128,26,1,,25,21,3,0,15,7,2,9,4,4,0,7,1,204,,1,,,,,,,,,,,,1,10,,,,,,6,,,1,,,,,4,1,,,,,,,2,1,,,11,106,,,6,237,,,,3,,2,1,2,4,,,,1,61,1
Office of the Scottish Charity Regulator,National,Non Ministerial Officeholders,139,43,4,3,0,0,39,1,0,0,2,0,8,2,9,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,2,1,0,0,0,0,0,0,0,4,,1,,,1,,,,,,,2,2,1,2,,,,,,1,,,,,,,,2,,2,,,,5,,1,3,,,2,5,1,,,,,,,,,,,,,,,,,,
Orkney and Shetland Valuation Joint Board and Assessor for Orkney and Shetland Valuation Joint Board,Highland and Islands,Local Government,140,11,0,0,0,0,11,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orkney Islands Council and Licensing Board,Highland and Islands,Local Government,141,1253,26,2,0,0,1143,71,0,4,0,3,938,92,80,63,1,40,1,0,0,0,39,0,0,0,0,0,26,9,3,1,0,23,10,10,0,0,8,0,2,1,1,0,0,1,0,104,,,,,1,,,,,,,,1,1,1,,,,,,10,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,1,,,,,,
Orkney Health Board,Highland and Islands,National Health Service,143,523,3,3,0,0,469,44,0,45,0,0,318,69,127,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,5,1,0,0,0,0,0,0,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parole Board for Scotland,National,Others e.g. NDPBs,144,16,0,0,0,0,16,0,0,1,0,0,14,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perth and Kinross Council and Licensing Board,Tayside,Local Government,145,1451,14,14,0,0,1366,85,0,33,2,1,660,1,200,180,3,179,0,1,0,0,169,10,0,1,2,0,59,0,60,47,0,137,19,17,2,0,8,9,0,6,6,0,0,3,3,75,0,0,0,0,2,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,9,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,3,1,0,0,1,104,0,0,0,0,4,0,1,0,0,1,0,0,1,1,0,0,7,2,0
Perth College,Tayside,Educational Institutions,147,23,0,0,0,0,15,4,0,0,1,0,12,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
Queen's and Lord Treasurer's Remembrancer,National,Non Ministerial Officeholders,149,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queen's Printer for Scotland,National,Non Ministerial Officeholders,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queen Margaret University Edinburgh,Lothian and Borders,Educational Institutions,151,270,11,2,0,0,224,35,0,0,0,0,191,2,59,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renfrewshire Council,Strathclyde,Local Government,155,1583,2,2,0,0,1501,101,1,26,0,3,949,222,358,124,0,96,3,0,0,0,94,2,0,0,0,0,51,7,21,3,0,223,25,25,0,0,13,11,1,0,0,0,0,0,0,114,0,0,0,0,2,0,0,0,0,0,0,1,0,0,4,0,0,0,0,3,15,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,64,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Renfrewshire Licensing Board,Strathclyde,Local Government,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renfrewshire Valuation Joint Board and Assessor for Renfrewshire Valuation Joint Board,Strathclyde,Local Government,157,10,0,0,0,0,10,0,0,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Gordon University,Grampian,Educational Institutions,159,278,6,4,0,0,204,4,0,1,0,0,167,16,87,18,1,10,0,0,0,0,10,0,0,0,0,0,9,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Royal Conservatoire of Scotland,Strathclyde,Educational Institutions,161,70,0,1,0,0,69,0,0,0,0,0,60,0,9,0,0,0,,,,,,,,,,,,,,,,7,2,2,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
Sabhal Mor Ostaig,Highland and Islands,Educational Institutions,162,11,0,0,0,0,11,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scottish Advisory Committee on Distinction Awards,National,National Health Service,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRUC,National,Educational Institutions,164,57,1,0,0,0,45,8,2,0,0,0,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Scottish Ambulance Service Board,National,National Health Service,166,355,14,0,0,0,207,103,0,0,0,0,227,0,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,1,0,4,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scottish Borders Council and Licensing Board,Lothian and Borders,Local Government,167,752,3,3,0,0,668,127,4,38,0,0,425,72,251,70,1,550,5,5,0,0,521,45,1,2,18,0,262,46,241,36,0,65,18,18,0,0,4,14,1,26,22,4,0,8,18,72,4,16,0,0,1,0,0,0,0,0,0,0,1,7,3,0,0,0,0,0,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,4,66,0,0,1,0,0,0,2,1,0,0,1,1,19,0,1,0,4,97,0
