AuthorityName,Region,Sector,authority_id,FOISA requests,FOISA closed - unclear,FOISA closed - withdrawn,FOISA fees notice,FOISA - fees paid,FOISA response on time,FOISA response late,FOISA - faliure to respond,FOISA refused - cost,FOISA - vexatious,FOISA - repeated,FOISA - full release,FOISA - none released,FOISA - some released,FOISA - none held ,FOISA - no confirm/deny,EIR requests,EIR closed - unclear ,EIR closed - withdrawn,EIRs fees notice,EIRs - fees paid,EIRs response on time,EIRs response late,EIRs - failure to respond,EIR timescale extended,EIRs refused - cost,EIRs - manifestly unreasonable,EIRs - full release,EIRs - none released ,EIRs - some released,EIRs - none held,EIRs - no confirm/deny,Subject Access Requests,FOISA reviews ,FOISA review - on time,FOISA review - late response,FOISA review - failure to respond,FOISA review - wholly/partially upheld,FOISA review - substituted decision,FOISA review - decision reached ,EIRs reviews,EIRs review - on time,EIRs review - late response ,EIRs review - failure to respond,EIR review - upheld,EIR review - not upheld,Otherwise accessible,Publication Scheme ,Disclosure prohibited: enactment ,Disclosure prohibited: EU obligation,Disclosure prohibited: Contempt of Court,Future publication: 12 weeks,Future publication: programme of research,Substantial prejudice to UK relations ,Formulation/development of government policy,Ministerial communications,Advice by Law Officers,Operation of Ministerial private office,Substantial prejudice to collective responsibility of Scottish Ministers,Substantial inhibition to free and frank provision of advice,Substantial inhibition to free and frank exchange of views,Substantial prejudice to effective conduct of public affairs,National security,Substantial prejudice to defence ,Substantial prejudice to international relations,Confidential information obtained from abroad,Trade secret,Substantial prejudice to commercial interests,Substantial prejudice to the economic interests of the UK,Substantial prejudice to the financial interests of a UK administration,Information held for the purposes of a criminal investigation,Information held for ongoing Fatal Accident Inquiry,Information held regarding cause of death,Information relating to the obtaining of information from confidential sources,Information held for purposes of civil proceedings arising out of investigations,Substantial prejudice to prevention or detection of crime,Substantial prejudice to apprehension or prosecution of offenders,Substantial prejudice to administration of justice,Substantial prejudice to assessment or collection of tax or duty,Substantial prejudice to operation of immigration controls,Substantial prejudice to maintenance of security and good order in prisons,Substantial prejudice to the exercise by a public authority for any of its functions,Substantial prejudice to civil proceedings brought by an authority,Confidentiality of communications,Actionable breach of confidence,Court records,Court records: inquiry or arbitration,Personal data of the applicant,Third party personal data ,Personal census information,Deceased person's health record,Endangerment to health or safety,Environmental information ,Substantial prejudice to audit function,Communications with the Royal Family and honours,Material in course of completion,Internal Communications,Substantial prejudice to international relations public safety etc.,Substantial prejudice to course of justice etc.,Substantial prejudice to intellectual property rights,Substantial prejudice to confidentiality of proceedings,Substantial prejudice to confidentiality of commercial or industrial information ,Substantial prejudice to the interests of a third party,Substantial prejudice to the protection of the environment,Neither confirm nor deny whether environmental information held,Personal data of the applicant,Third party personal data,Neither confirm or deny whether personal data held
Assessor for Lanarkshire Valuation Joint Board,Strathclyde,Local Government,22,14,0,0,0,0,9,0,0,0,0,0,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Lothian Valuation Joint Board and the Lothian Valuation Joint Board,Lothian and Borders,Local Government,23,17,2,0,0,0,17,0,0,0,0,0,9,0,5,1,0,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Scottish Borders Council,Lothian and Borders,Local Government,26,3,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Tayside Valuation Joint Board,Tayside,Local Government,27,5,,,,,3,,,,,,,2,,,,0,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Audit Scotland,National,Others e.g. NDPBs,28,67,0,0,0,0,64,3,0,0,0,0,50,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auditor General for Scotland,National,Others e.g. NDPBs,29,2,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ayrshire and Arran Health Board,Ayrshire,National Health Service,31,544,1,9,0,0,474,49,0,26,0,0,305,6,161,18,0,2,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,,4,4,0,0,2,2,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,43,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ayrshire Valuation Joint Board,Ayrshire,Local Government,32,4,0,0,0,0,4,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Board of Trustees for the National Galleries of Scotland,National,Others e.g. NDPBs,34,26,0,1,0,0,29,1,0,0,0,0,20,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Board of Trustees of the National Museums of Scotland,National,Others e.g. NDPBs,35,32,0,0,0,0,31,0,0,0,0,0,24,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Board of Trustees of the Royal Botanic Garden Edinburgh,Lothian and Borders,Others e.g. NDPBs,36,11,0,0,0,0,11,0,0,0,0,0,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bord na Gaidhlig,National,Others e.g. NDPBs,37,8,,,,,8,,,,1,,2,,4,1,,0,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borders College,Lothian and Borders,Educational Institutions,38,35,0,0,0,0,34,2,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borders Health Board,Lothian and Borders,National Health Service,39,504,3,5,0,0,504,5,0,25,0,0,230,2,181,69,0,0,,,,,,,,,,,,,,,,537,6,6,0,0,5,1,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cairngorms National Park Authority,Highland and Islands,Others e.g. NDPBs,40,14,1,0,0,0,8,1,0,0,0,0,5,0,4,1,0,11,0,0,0,0,8,3,0,2,0,0,6,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City of Edinburgh Council,Lothian and Borders,Local Government,45,1362,81,5,1,0,1138,88,0,65,1,1,532,266,353,144,2,1485,54,23,39,10,1482,102,2,8,32,7,712,357,402,287,0,568,71,63,1,0,43,19,2,123,122,3,0,82,40,54,0,4,0,0,4,0,0,0,0,0,0,1,2,4,22,1,0,0,0,0,34,0,0,1,1,1,0,0,3,1,4,0,0,0,0,0,2,5,0,0,2,46,0,0,2,1584,0,1,3,6,0,28,0,8,21,2,0,0,80,278,0
City of Edinburgh Licensing Board,Lothian and Borders,Local Government,46,21,0,0,0,0,21,0,0,0,0,0,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clackmannanshire Council and Licensing Board,Central,Local Government,47,999,11,3,,,895,89,1,2,,,923,7,11,27,1,3,,,,,3,,,,,,,,,,,,8,8,0,0,4,2,1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Comhairle nan Eilean Siar,Highland and Islands,Local Government,51,895,8,4,1,0,830,67,6,2,0,0,852,0,15,2,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,22,6,6,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crofting Commission,National,Others e.g. NDPBs,52,62,,,,,61,2,,1,,,35,,22,6,,0,,,,,,,,,,,,,,,,5,5,3,2,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crown Office and Procurator Fiscal Service,National,Non Ministerial Officeholders,53,297,3,17,0,0,184,81,16,22,0,3,89,59,29,64,2,5,0,0,0,0,1,3,1,0,0,0,3,1,0,0,0,71,38,29,7,0,35,1,0,0,0,0,0,0,0,14,0,0,0,0,3,0,0,0,0,0,0,9,1,3,2,0,0,0,0,1,0,0,0,27,0,11,0,0,17,17,21,0,0,0,2,0,1,0,0,0,0,32,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dumfries and Galloway College,Dumfries and Galloway,Educational Institutions,55,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumfries and Galloway Council,Dumfries and Galloway,Local Government,56,972,12,11,0,0,859,78,10,10,0,0,676,46,106,89,2,146,2,1,0,0,125,18,1,0,0,2,107,5,15,14,0,27,15,15,0,0,11,4,4,2,2,0,0,2,0,9,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,12,35,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,5,0
Dumfries and Galloway Licensing Board,Dumfries and Galloway,Local Government,57,15,0,0,0,0,14,1,0,0,0,0,12,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumfries and Galloway Health Board,Dumfries and Galloway,National Health Service,58,494,0,5,0,0,394,99,0,4,0,0,383,22,49,42,3,9,0,0,0,0,6,3,0,0,0,0,3,0,0,1,0,742,12,8,4,0,10,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Dunbartonshire and Argyll and Bute Valuation Joint Board and Assessor Dunbartonshire and Argyll and Bute Valuation Joint Board,Strathclyde,Local Government,59,9,,,,,9,,,,,,4,1,3,1,,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dundee City Council and Licensing Board,Tayside,Local Government,60,1112,3,8,0,0,911,140,35,47,2,0,788,62,122,55,0,293,2,3,136,28,148,16,5,0,0,0,137,4,14,11,0,90,22,11,5,0,7,10,0,6,3,1,0,1,0,4,0,8,0,0,5,0,0,0,0,0,0,5,2,2,2,0,0,0,0,5,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,79,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Ayrshire Council,Ayrshire,Local Government,63,1003,9,9,5,0,865,138,0,17,0,0,746,21,131,83,0,60,0,2,1,0,52,8,0,2,0,0,33,2,18,4,0,16,11,8,3,0,9,2,0,7,7,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,2,0,0,1,1,0,0,0,3,2,3,0,0,0,2,0
East Ayrshire Licensing Board,Ayrshire,Local Government,64,5,0,0,0,0,5,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Dunbartonshire Council and Licensing Board,Strathclyde,Local Government,65,1027,17,8,0,0,932,80,30,12,0,0,710,24,141,63,0,58,1,0,0,0,51,3,2,1,0,0,40,3,10,2,0,19,16,11,3,0,9,1,3,1,1,0,0,1,0,26,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,74,0,0,0,1,0,0,0,0,2,0,0,0,0,3,1,0,0,2,0,0
East Lothian Council,Lothian and Borders,Local Government,67,1053,53,11,2,0,939,44,0,12,0,4,628,132,212,74,3,156,5,3,0,0,142,6,0,3,0,0,94,24,29,9,0,4,25,21,4,0,14,7,0,2,2,0,0,2,0,55,0,1,0,0,1,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0
East Lothian Licensing Board,Lothian and Borders,Local Government,68,10,0,0,0,0,10,0,0,0,0,0,6,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
