AuthorityName,authority_id,Region,Sector,FOISA requests,FOISA closed - unclear,FOISA closed - withdrawn,FOISA fees notice,FOISA - fees paid,FOISA response on time,FOISA response late,FOISA - faliure to respond,FOISA refused - cost,FOISA - vexatious,FOISA - repeated,FOISA - full release,FOISA - none released,FOISA - some released,FOISA - none held ,FOISA - no confirm/deny,EIR requests,EIR closed - unclear ,EIR closed - withdrawn,EIRs fees notice,EIRs - fees paid,EIRs response on time,EIRs response late,EIRs - failure to respond,EIR timescale extended,EIRs refused - cost,EIRs - manifestly unreasonable,EIRs - full release,EIRs - none released ,EIRs - some released,EIRs - none held,EIRs - no confirm/deny,Subject Access Requests,FOISA reviews ,FOISA review - on time,FOISA review - late response,FOISA review - failure to respond,FOISA review - wholly/partially upheld,FOISA review - substituted decision,FOISA review - decision reached ,EIRs reviews,EIRs review - on time,EIRs review - late response ,EIRs review - failure to respond,EIR review - upheld,EIR review - not upheld,Otherwise accessible,Publication Scheme ,Disclosure prohibited: enactment ,Disclosure prohibited: EU obligation,Disclosure prohibited: Contempt of Court,Future publication: 12 weeks,Future publication: programme of research,Substantial prejudice to UK relations ,Formulation/development of government policy,Ministerial communications,Advice by Law Officers,Operation of Ministerial private office,Substantial prejudice to collective responsibility of Scottish Ministers,Substantial inhibition to free and frank provision of advice,Substantial inhibition to free and frank exchange of views,Substantial prejudice to effective conduct of public affairs,National security,Substantial prejudice to defence ,Substantial prejudice to international relations,Confidential information obtained from abroad,Trade secret,Substantial prejudice to commercial interests,Substantial prejudice to the economic interests of the UK,Substantial prejudice to the financial interests of a UK administration,Information held for the purposes of a criminal investigation,Information held for ongoing Fatal Accident Inquiry,Information held regarding cause of death,Information relating to the obtaining of information from confidential sources,Information held for purposes of civil proceedings arising out of investigations,Substantial prejudice to prevention or detection of crime,Substantial prejudice to apprehension or prosecution of offenders,Substantial prejudice to administration of justice,Substantial prejudice to assessment or collection of tax or duty,Substantial prejudice to operation of immigration controls,Substantial prejudice to maintenance of security and good order in prisons,Substantial prejudice to the exercise by a public authority for any of its functions,Substantial prejudice to civil proceedings brought by an authority,Confidentiality of communications,Actionable breach of confidence,Court records,Court records: inquiry or arbitration,Personal data of the applicant,Third party personal data ,Personal census information,Deceased person's health record,Endangerment to health or safety,Environmental information ,Substantial prejudice to audit function,Communications with the Royal Family and honours,Material in course of completion,Internal Communications,Substantial prejudice to international relations public safety etc.,Substantial prejudice to course of justice etc.,Substantial prejudice to intellectual property rights,Substantial prejudice to confidentiality of proceedings,Substantial prejudice to confidentiality of commercial or industrial information ,Substantial prejudice to the interests of a third party,Substantial prejudice to the protection of the environment,Neither confirm nor deny whether environmental information held,Personal data of the applicant,Third party personal data,Neither confirm or deny whether personal data held
Assessor & Electoral Registration Officer for Dumfries and Galloway,16,Dumfries and Galloway,Local Government,49,0,0,0,0,45,1,0,0,0,0,27,2,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Fife Council,18,Fife,Local Government,110,20,7,0,0,86,1,0,0,0,0,30,3,50,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Grampian Valuation Joint Board & Grampian Valuation Joint Board,20,Grampian,Local Government,131,0,3,0,0,51,1,0,0,0,0,29,9,82,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,1,0,76,0,0,0,0,0,78,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Highland and Western Isles Valuation Joint Board,21,Highland and Islands,Local Government,103,0,1,0,0,88,9,1,0,0,0,18,2,65,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Lanarkshire Valuation Joint Board,22,Strathclyde,Local Government,88,1,0,0,0,80,1,0,0,1,5,37,11,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,0,0,5,0,1,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Lothian Valuation Joint Board and the Lothian Valuation Joint Board,23,Lothian and Borders,Local Government,99,3,3,1,0,91,3,0,1,0,0,60,2,18,9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,5,4,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Scottish Borders Council,26,Lothian and Borders,Local Government,41,0,0,0,0,39,1,0,0,0,0,24,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Tayside Valuation Joint Board,27,Tayside,Local Government,59,0,0,0,0,46,1,0,0,0,0,22,4,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,0,1,0,0,0,0,0,0,0,0,31,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Audit Scotland,28,National,Others e.g. NDPBs,347,4,2,0,0,333,11,0,1,0,1,184,8,72,71,1,2,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,9,5,3,1,4,1,3,0,0,0,0,0,0,13,0,0,0,0,2,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5,39,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Auditor General for Scotland,29,National,Others e.g. NDPBs,4,0,0,0,0,4,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ayrshire and Arran Health Board,31,Ayrshire,National Health Service,3947,9,34,0,0,3461,360,3,245,0,0,2200,153,1134,126,0,61,1,0,0,0,53,9,0,0,8,0,28,8,15,3,0,11,27,24,4,0,18,7,1,0,0,0,0,0,0,77,26,1,0,0,9,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,57,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0,0,31,313,0,8,0,0,0,0,1,3,0,0,0,0,3,0,0,0,1,6,0
Ayrshire Valuation Joint Board,32,Ayrshire,Local Government,31,0,0,0,0,31,0,0,0,0,0,14,2,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Board of Trustees for the National Galleries of Scotland,34,National,Others e.g. NDPBs,143,2,5,0,0,133,12,0,1,0,0,94,4,35,9,0,7,0,0,0,0,5,2,0,0,1,0,4,0,3,0,0,5,2,2,0,0,2,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,2,2,7,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Board of Trustees of the National Museums of Scotland,35,National,Others e.g. NDPBs,211,3,0,0,0,204,3,0,0,0,2,146,13,29,17,0,2,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,71,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,12,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Board of Trustees of the Royal Botanic Garden Edinburgh,36,Lothian and Borders,Others e.g. NDPBs,62,0,0,0,0,56,0,0,0,0,0,50,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bord na Gaidhlig,37,National,Others e.g. NDPBs,107,0,0,0,0,106,1,2,4,1,0,77,9,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,8,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borders College,38,Lothian and Borders,Educational Institutions,199,1,0,1,0,184,7,0,0,0,0,140,3,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borders Health Board,39,Lothian and Borders,National Health Service,3765,21,18,0,0,3366,135,0,286,0,0,1918,5,1196,428,0,40,1,1,0,0,33,0,0,0,0,0,18,0,6,1,0,3340,26,25,1,0,19,6,1,0,0,0,0,0,0,275,0,0,0,0,3,0,0,0,0,0,0,0,1,1,3,4,0,0,0,4,22,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7,2,0,0,25,500,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Cairngorms National Park Authority,40,Highland and Islands,Others e.g. NDPBs,103,2,1,1,0,80,2,0,1,0,0,72,0,9,15,0,93,0,3,0,0,69,7,0,3,3,2,73,1,6,7,0,0,2,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
City of Edinburgh Council,45,Lothian and Borders,Local Government,10443,529,114,14,2,8946,1445,18,657,5,13,4099,2326,3315,2091,8,7531,256,73,203,53,6803,962,23,156,130,80,3454,1544,2384,1604,0,3692,494,453,28,1,348,81,50,525,471,36,1,317,187,893,8,47,0,0,29,0,0,0,0,0,0,10,10,40,267,2,0,0,1,10,250,2,1,17,2,2,1,0,25,3,17,0,0,0,8,0,36,25,0,0,98,561,0,1,14,1586,0,2,41,119,5,226,35,37,147,30,2,0,261,1063,15
City of Edinburgh Licensing Board,46,Lothian and Borders,Local Government,79,0,0,0,0,73,4,0,0,1,0,65,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,4,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clackmannanshire Council and Licensing Board,47,Central,Local Government,7149,58,11,0,0,6179,498,10,17,10,0,5953,55,63,152,8,16,,0,0,0,11,1,0,2,0,0,6,2,,,0,,71,71,0,0,51,11,8,1,1,0,0,1,0,206,0,0,0,0,2,0,0,0,0,0,0,0,1,0,8,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,6,35,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
Comhairle nan Eilean Siar,51,Highland and Islands,Local Government,7102,73,25,32,0,6467,452,137,12,0,0,6631,10,65,122,0,48,0,0,0,0,37,2,2,0,0,0,42,0,0,0,0,131,66,63,1,2,34,10,25,0,0,0,0,0,0,16,0,4,0,0,1,0,0,0,0,0,0,1,0,1,20,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,4,0,97,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crofting Commission,52,National,Others e.g. NDPBs,294,2,3,0,0,262,16,0,1,1,1,165,5,86,23,0,82,3,4,7,3,57,1,0,0,1,0,27,0,30,6,0,15,19,15,3,0,16,2,0,7,0,0,0,1,0,9,0,0,0,0,5,0,0,3,0,1,0,0,7,7,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,6,70,0,0,0,56,0,0,2,3,0,0,0,3,0,1,0,0,27,27,0
Crown Office and Procurator Fiscal Service,53,National,Non Ministerial Officeholders,1925,18,104,0,0,1513,263,29,209,3,10,490,416,263,377,5,21,0,2,0,0,11,6,1,0,0,0,16,14,17,15,0,804,229,205,24,0,213,11,1,1,0,1,0,0,1,71,0,0,0,0,8,0,0,2,1,0,0,19,39,28,11,1,0,0,0,1,3,0,0,180,4,68,2,0,114,109,121,0,0,0,3,0,9,1,3,0,34,238,0,0,24,0,2,6,0,1,0,3,0,0,0,0,0,0,0,2,0
Dumfries and Galloway College,55,Dumfries and Galloway,Educational Institutions,144,0,0,0,0,55,1,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumfries and Galloway Council,56,Dumfries and Galloway,Local Government,7408,33,42,0,0,6382,659,218,110,0,0,4619,614,1053,1145,10,877,4,4,0,0,719,126,14,1,4,5,632,33,95,79,3,143,94,91,3,0,66,23,5,11,11,0,0,7,1,173,0,4,0,0,3,0,1,1,0,0,0,4,0,5,9,6,0,0,0,2,31,0,0,1,0,0,0,0,17,0,0,0,0,0,2,0,14,13,1,0,165,260,1,0,1,1,0,0,3,0,1,7,0,4,3,0,0,0,7,30,0
Dumfries and Galloway Licensing Board,57,Dumfries and Galloway,Local Government,113,0,0,0,0,95,10,2,0,0,0,69,5,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumfries and Galloway Health Board,58,Dumfries and Galloway,National Health Service,3651,12,21,0,0,3022,580,53,50,1,3,2499,279,552,390,15,83,0,0,0,0,62,5,1,1,0,0,41,2,7,5,0,4250,98,80,14,3,56,16,7,1,1,1,0,1,0,35,0,1,0,0,6,0,0,0,0,0,0,0,2,0,4,0,1,0,0,0,10,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,6,9,0,0,31,157,0,4,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
Dunbartonshire and Argyll and Bute Valuation Joint Board and Assessor Dunbartonshire and Argyll and Bute Valuation Joint Board,59,Strathclyde,Local Government,131,1,3,0,0,124,0,0,0,0,0,41,4,66,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dundee City Council and Licensing Board,60,Tayside,Local Government,7947,45,35,0,0,6437,975,163,316,3,1,5515,587,1000,677,2,2178,13,23,439,90,1625,136,55,0,6,1,1380,125,132,183,1,496,122,64,23,3,44,39,11,43,23,7,4,8,4,84,0,14,0,0,14,0,0,2,0,0,0,16,5,5,3,0,0,0,0,70,64,0,0,2,0,0,0,0,2,1,0,0,0,0,1,0,5,1,1,1,341,283,0,0,2,0,0,0,0,0,2,1,1,0,14,6,0,0,2,8,0
East Ayrshire Council,63,Ayrshire,Local Government,7516,64,75,15,2,6939,571,2,141,0,7,5335,165,1020,606,1,577,2,12,12,0,540,38,0,25,2,0,440,14,61,14,0,168,55,47,5,0,40,14,1,20,16,1,0,15,5,5,0,2,0,0,4,0,0,0,0,0,0,0,3,4,5,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,1,0,6,119,0,0,1,2,0,0,2,1,0,4,0,7,5,4,1,0,3,4,0
East Ayrshire Licensing Board,64,Ayrshire,Local Government,20,0,0,0,0,20,0,0,0,0,0,16,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Dunbartonshire Council and Licensing Board,65,Strathclyde,Local Government,7855,218,32,0,0,7107,562,218,40,0,10,5290,204,1218,464,0,754,15,1,0,0,711,31,10,1,3,1,598,47,63,22,0,257,94,63,15,9,48,16,14,31,22,3,5,17,9,249,0,7,0,0,27,0,0,0,0,0,0,20,0,0,0,0,0,0,0,79,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,36,2,0,0,713,39,0,0,3,0,0,0,5,5,0,0,0,2,8,3,0,0,22,1,0
East Lothian Council,67,Lothian and Borders,Local Government,7607,205,47,19,2,5915,1062,133,70,1,13,4080,1178,1513,747,14,1264,18,16,116,21,931,193,21,9,4,0,657,181,236,78,0,70,177,139,36,0,73,30,49,54,43,11,0,25,28,558,0,19,0,0,11,0,0,0,0,0,0,0,1,21,29,12,0,0,0,0,66,0,1,4,0,0,0,0,13,1,0,0,0,0,0,0,18,7,0,0,47,222,0,0,0,0,0,0,3,0,1,2,0,10,9,0,1,0,6,27,0
