AuthorityName,authority_id,Region,Sector,FOISA requests,FOISA closed - unclear,FOISA closed - withdrawn,FOISA fees notice,FOISA - fees paid,FOISA response on time,FOISA response late,FOISA - faliure to respond,FOISA refused - cost,FOISA - vexatious,FOISA - repeated,FOISA - full release,FOISA - none released,FOISA - some released,FOISA - none held ,FOISA - no confirm/deny,EIR requests,EIR closed - unclear ,EIR closed - withdrawn,EIRs fees notice,EIRs - fees paid,EIRs response on time,EIRs response late,EIRs - failure to respond,EIR timescale extended,EIRs refused - cost,EIRs - manifestly unreasonable,EIRs - full release,EIRs - none released ,EIRs - some released,EIRs - none held,EIRs - no confirm/deny,Subject Access Requests,FOISA reviews ,FOISA review - on time,FOISA review - late response,FOISA review - failure to respond,FOISA review - wholly/partially upheld,FOISA review - substituted decision,FOISA review - decision reached ,EIRs reviews,EIRs review - on time,EIRs review - late response ,EIRs review - failure to respond,EIR review - upheld,EIR review - not upheld,Otherwise accessible,Publication Scheme ,Disclosure prohibited: enactment ,Disclosure prohibited: EU obligation,Disclosure prohibited: Contempt of Court,Future publication: 12 weeks,Future publication: programme of research,Substantial prejudice to UK relations ,Formulation/development of government policy,Ministerial communications,Advice by Law Officers,Operation of Ministerial private office,Substantial prejudice to collective responsibility of Scottish Ministers,Substantial inhibition to free and frank provision of advice,Substantial inhibition to free and frank exchange of views,Substantial prejudice to effective conduct of public affairs,National security,Substantial prejudice to defence ,Substantial prejudice to international relations,Confidential information obtained from abroad,Trade secret,Substantial prejudice to commercial interests,Substantial prejudice to the economic interests of the UK,Substantial prejudice to the financial interests of a UK administration,Information held for the purposes of a criminal investigation,Information held for ongoing Fatal Accident Inquiry,Information held regarding cause of death,Information relating to the obtaining of information from confidential sources,Information held for purposes of civil proceedings arising out of investigations,Substantial prejudice to prevention or detection of crime,Substantial prejudice to apprehension or prosecution of offenders,Substantial prejudice to administration of justice,Substantial prejudice to assessment or collection of tax or duty,Substantial prejudice to operation of immigration controls,Substantial prejudice to maintenance of security and good order in prisons,Substantial prejudice to the exercise by a public authority for any of its functions,Substantial prejudice to civil proceedings brought by an authority,Confidentiality of communications,Actionable breach of confidence,Court records,Court records: inquiry or arbitration,Personal data of the applicant,Third party personal data ,Personal census information,Deceased person's health record,Endangerment to health or safety,Environmental information ,Substantial prejudice to audit function,Communications with the Royal Family and honours,Material in course of completion,Internal Communications,Substantial prejudice to international relations public safety etc.,Substantial prejudice to course of justice etc.,Substantial prejudice to intellectual property rights,Substantial prejudice to confidentiality of proceedings,Substantial prejudice to confidentiality of commercial or industrial information ,Substantial prejudice to the interests of a third party,Substantial prejudice to the protection of the environment,Neither confirm nor deny whether environmental information held,Personal data of the applicant,Third party personal data,Neither confirm or deny whether personal data held
Dundee City Council and Licensing Board,60,Tayside,Local Government,1306,11,4,0,0,1185,64,11,57,1,0,856,168,217,188,0,474,1,3,12,0,399,35,7,0,2,0,348,49,38,41,0,64,12,5,2,0,1,3,0,12,7,1,0,3,3,34,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,18,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6,100,0,0,0,0,0,0,0,0,2,1,0,0,5,2,0,0,0,4,0
East Ayrshire Council,63,Ayrshire,Local Government,1352,12,12,1,0,1317,35,0,10,0,1,991,10,171,136,0,114,0,3,2,0,109,5,0,13,2,0,86,4,3,3,0,33,2,2,0,0,0,2,0,3,3,0,0,3,0,1,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,1,,,,,,,,,
East Ayrshire Licensing Board,64,Ayrshire,Local Government,3,0,0,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Dunbartonshire Council and Licensing Board,65,Strathclyde,Local Government,1407,58,3,0,0,1372,36,0,6,0,1,896,31,273,135,0,181,3,0,0,0,179,2,0,0,3,0,151,7,14,3,0,67,9,8,1,0,4,2,3,2,2,0,0,1,1,54,,2,,,7,,,,,,,3,,,,,,,,7,,,,,,,,,,,,,,,,,3,,,,178,,,,,,,,1,3,,,,2,3,2,,,5,,
East Lothian Council,67,Lothian and Borders,Local Government,1242,17,3,2,0,406,619,131,3,0,0,544,246,186,145,0,197,1,1,4,1,39,126,21,0,0,0,84,31,47,10,0,4,54,39,15,0,7,2,43,18,13,5,0,2,16,103,0,4,0,0,3,0,0,0,0,0,0,0,0,2,3,4,0,0,0,0,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,4,26,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,5,0
East Lothian Licensing Board,68,Lothian and Borders,Local Government,5,0,0,0,0,1,2,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Renfrewshire Council and Licensing Board,69,Strathclyde,Local Government,1128,3,0,2,0,961,150,15,11,3,1,845,101,165,68,0,328,0,0,5,0,266,50,4,0,0,0,221,37,66,41,0,34,9,7,2,0,6,3,0,10,10,0,0,9,1,110,0,1,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,60,0,0,0,0,0,0,2,0,0,1,0,1,6,0,0,0,1,2,0
Falkirk Council,71,Central,Local Government,1408,21,10,3,0,1200,190,11,10,0,2,997,148,164,175,20,159,0,0,0,0,140,19,0,13,0,0,139,1,13,3,0,177,13,5,7,0,4,3,4,8,1,7,0,0,1,21,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,28,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkirk Licensing Board,72,Central,Local Government,2,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fife Council and Licensing Board,73,Fife,Local Government,2141,30,16,0,0,1794,329,19,31,0,0,1036,799,301,127,0,589,6,3,0,0,482,104,5,16,2,1,361,68,132,36,0,565,71,64,7,0,20,15,22,44,41,3,0,21,23,77,,2,,,6,,,,,,,,,,9,,,,,,6,,,1,,,,,,,,,,,,,14,20,1,,90,56,,1,,426,,,5,14,1,2,1,7,5,1,,,1,29,0
Fife Health Board,75,Fife,National Health Service,337,2,0,0,87,150,96,0,21,0,0,144,57,59,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1,0,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forth Valley College of Further and Higher Education,78,Central,Educational Institutions,39,0,0,0,0,39,0,0,0,0,0,33,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forth Valley Health Board,79,Central,National Health Service,657,4,2,0,0,588,62,4,67,0,0,413,7,122,36,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,885,12,4,6,2,2,7,0,0,0,0,0,0,0,47,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,1,,,,,,,,,,,,,18,,,1,,,,,,,,,,,,,,,,
General Teaching Council for Scotland,80,National,Others e.g. NDPBs,66,1,0,2,0,64,0,0,1,0,2,42,7,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
Glasgow Caledonian University,81,Strathclyde,Educational Institutions,298,12,2,0,0,262,22,0,4,0,0,182,8,84,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,52,5,2,3,0,4,0,1,0,0,0,0,0,0,5,2,,,,2,,,,,,,,,,1,,,,,,6,,,,,,,,,,,,,,,,1,,,,,8,,,,,,,,,,,,,,,,,,,
Glasgow City Council,82,Strathclyde,Local Government,3239,8,19,0,0,2887,369,53,81,9,0,965,340,515,286,0,206,0,0,133,41,180,33,6,,0,,87,3,31,13,0,700,74,62,11,1,34,21,18,33,26,7,0,12,6,110,,2,,,4,,0,0,,,,,,,8,0,,0,,25,17,,,0,,,,,7,,,,,,,,9,,0,57,,183,,,6,,0,0,0,,0,0,,0,0,,0,0,,22,
City of Glasgow Licensing Board,83,Strathclyde,Local Government,9,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Glasgow School of Art,85,Strathclyde,Educational Institutions,91,0,0,0,0,74,15,0,3,0,0,65,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grampian Health Board,86,Grampian,National Health Service,888,4,11,0,0,649,201,38,69,0,0,410,41,362,342,0,4,0,0,0,0,4,0,0,0,0,0,2,0,2,1,0,1854,7,7,0,0,2,2,3,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,194,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Greater Glasgow Health Board,88,Strathclyde,National Health Service,1079,7,7,0,0,901,109,7,23,0,11,502,45,287,98,0,29,0,0,0,0,19,5,0,0,0,0,12,0,9,2,0,7339,27,6,7,13,5,6,0,1,0,1,0,0,0,32,,,,,3,,,,,,,,,,,,,,1,,4,,,2,,,,,,,,,,,,,,1,1,,4,97,,1,,,,,1,,,,,,,,,,,1,
Heriot-Watt University,93,Lothian and Borders,Educational Institutions,283,15,4,0,0,236,31,0,1,0,0,98,0,72,15,0,10,0,0,0,0,8,0,0,1,0,0,4,0,0,0,0,2,3,2,1,0,2,1,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Highland and Western Isles Valuation Joint Board,94,Highland and Islands,Local Government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Highland Council and Licensing Board,95,Highland and Islands,Local Government,1391,11,30,0,0,1154,204,33,29,0,0,936,61,160,128,0,451,4,10,0,0,347,89,15,0,2,0,346,10,48,10,0,7,19,13,6,0,8,2,9,14,8,3,3,4,8,37,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,40,0,0,0,0,0,0,0,0,2,0,0,0,7,3,0,0,0,6,0
Highland Health Board,97,Highland and Islands,National Health Service,829,15,11,0,0,563,93,0,6,0,0,542,21,18,7,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,5,1,0,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,5,,,,8,,,,,,,,,,,,,,,,,,,
Highlands and Islands Enterprise,98,Highland and Islands,Others e.g. NDPBs,79,2,0,0,0,69,9,0,0,0,0,48,0,11,5,0,27,0,0,0,0,27,0,0,3,0,0,11,0,7,0,0,0,2,1,1,0,1,0,0,8,7,1,0,8,0,,,,,,,,,,,,,,1,1,5,,,,,,5,,,,,,,,,,,,,,,,,1,,,3,12,,,,,,,,3,,,,,11,,,,,10,
Inverclyde Council,100,Strathclyde,Local Government,1273,11,4,5,0,1022,181,0,9,0,8,1108,104,12,0,0,32,0,0,0,1,31,1,0,0,0,0,28,4,0,0,0,39,4,3,1,0,2,1,0,1,2,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Inverclyde Licensing Board,101,Strathclyde,Local Government,5,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inverness College,102,Highland and Islands,Educational Institutions,31,0,0,0,0,31,0,0,0,0,0,24,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keeper of the Registers of Scotland,105,National,Non Ministerial Officeholders,94,4,1,0,0,67,3,0,0,0,0,16,18,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,2,0,0,1,1,0,0,0,0,0,0,0,44,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lanarkshire Health Board,108,Strathclyde,National Health Service,756,2,4,0,0,675,68,0,22,0,1,301,113,329,46,0,51,0,0,2,2,39,14,0,2,1,0,4,23,26,30,0,,2,1,0,0,0,1,0,0,0,0,0,0,0,28,,,,,,,,,,,,,2,2,,,,,,,10,,,,,,,,,,,,,,,,,,,,9,86,,6,,32,,,,,,,,,2,1,,,2,,
Lanarkshire Valuation Joint Board,109,Strathclyde,Local Government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lews Castle College,112,Highland and Islands,Educational Institutions,209,0,0,0,0,209,0,0,11,0,0,183,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Local Government Boundary Commission for Scotland,113,National,Others e.g. NDPBs,18,0,0,0,0,18,0,0,0,0,0,9,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Lomond and The Trossachs National Park Authority,114,Strathclyde,Others e.g. NDPBs,16,0,0,0,0,16,0,0,0,0,0,7,0,6,3,0,35,0,0,0,0,35,0,0,3,0,0,10,0,20,5,0,0,2,2,0,0,0,0,0,4,4,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,35,,,1,2,,3,1,2,,1,1,,,3,
Lothian Health Board,115,Lothian and Borders,National Health Service,911,3,10,0,0,829,78,1,96,0,4,477,148,267,98,0,18,0,2,0,0,10,2,1,6,0,1,7,4,3,2,0,33,19,16,2,1,7,9,1,0,0,0,0,0,0,63,1,,,1,1,,,,,,,,,,2,,,1,,,1,,1,,,,,,,,,,,,,,1,,,,16,169,,2,,,,,1,1,,,,1,1,,,,,2,
Mental Welfare Commission for Scotland,118,National,Others e.g. NDPBs,15,0,1,0,0,14,0,0,0,0,0,7,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
Midlothian Council,119,Lothian and Borders,Local Government,1259,0,23,0,0,1080,117,31,8,0,0,1171,19,9,8,0,25,0,0,0,0,19,4,2,0,0,0,23,0,0,0,0,39,2,2,0,0,1,1,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Midlothian Licensing Board,120,Lothian and Borders,Local Government,13,0,0,0,0,9,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moray College,121,Grampian,Educational Institutions,35,0,0,0,0,28,3,1,1,0,0,31,3,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moray Council and Licensing Board,122,Grampian,Local Government,1274,35,1,0,0,1232,40,0,47,0,0,753,206,266,86,4,63,2,1,0,0,63,0,0,0,2,0,50,0,10,4,0,47,16,16,0,0,12,3,1,1,1,0,0,1,0,141,0,0,0,0,21,0,0,0,0,0,0,0,1,1,6,1,0,0,0,1,21,0,0,1,0,0,0,0,4,0,0,0,0,0,2,0,1,5,0,0,0,59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edinburgh Napier University,125,Lothian and Borders,Educational Institutions,282,3,2,,,274,5,,2,,,148,14,112,11,1,1,,,,,1,,,,,,,,1,,,13,6,6,,,5,1,,,,,,,,34,,,,,3,,,,,,,,,,,,,,,,6,,,,,,,,3,,,,,,,,2,,,,1,59,,,,,,,,,,,,,,,,,,,
Newbattle Abbey College,126,Lothian and Borders,Educational Institutions,26,0,0,0,0,23,3,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS 24,127,National,National Health Service,94,1,2,0,0,84,7,0,0,0,0,20,0,22,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,2,2,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Education for Scotland,128,National,National Health Service,38,0,0,0,0,36,0,0,0,0,0,11,1,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS National Services Scotland,130,National,National Health Service,439,0,55,0,0,380,4,0,1,2,0,113,29,74,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1,1,0,0,1,0,0,0,0,0,0,0,0,33,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Ayrshire Council and Licensing Board,131,Ayrshire,Local Government,1357,26,7,0,0,1024,189,0,31,0,0,632,65,286,172,2,210,2,1,0,0,124,49,0,1,1,0,77,11,38,16,0,0,10,6,1,0,5,3,0,4,1,0,0,1,0,71,0,1,0,0,4,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,31,17,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4,0
North Highland College,134,Highland and Islands,Educational Institutions,23,0,0,0,0,21,2,0,0,0,0,22,1,0,0,0,,,,,,,,,0,0,0,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Lanarkshire Council and Licensing Board,135,Strathclyde,Local Government,1372,16,5,0,0,1309,23,1,91,0,0,530,250,399,151,3,249,2,0,0,0,240,5,0,2,25,1,49,20,150,26,0,,22,21,3,0,18,3,3,9,9,2,0,9,2,205,,,,1,1,,,,,,,,,,9,,,,,,10,,,1,,,,,2,,,,,,,,,5,,,19,101,,,,215,,,2,,1,3,,2,2,,,,2,90,
Office of the Scottish Charity Regulator,139,National,Non Ministerial Officeholders,34,0,0,0,0,34,0,0,0,0,0,7,7,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,6,0,0,6,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,3,3,,2,,,,,,,,,,,,,,4,,,,,,,,4,,,,13,,,,,,,,,,,,,,,,,,,,
Orkney and Shetland Valuation Joint Board and Assessor for Orkney and Shetland Valuation Joint Board,140,Highland and Islands,Local Government,10,0,0,0,0,10,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orkney Islands Council and Licensing Board,141,Highland and Islands,Local Government,1239,20,2,0,0,1135,81,0,8,0,0,1002,56,99,51,0,41,0,0,0,0,39,2,0,1,0,0,33,2,6,0,0,23,7,7,0,0,6,0,1,1,1,0,0,1,0,68,,,,,1,,,,,,,,,,3,,,,1,,14,,,,,,,,1,,,,,,,,,,,,,37,,,,,,,,,,,,,2,1,,,,,
Orkney Health Board,143,Highland and Islands,National Health Service,602,12,6,0,0,454,130,0,54,0,0,350,93,144,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,2,0,2,3,0,0,0,0,0,0,0,46,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parole Board for Scotland,144,National,Others e.g. NDPBs,17,0,0,0,0,16,1,0,2,0,1,9,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perth and Kinross Council and Licensing Board,145,Tayside,Local Government,1493,19,12,0,0,1432,60,0,42,0,2,669,0,219,329,3,151,2,1,0,0,144,7,0,1,2,0,41,0,28,81,0,107,25,24,1,0,14,5,0,2,2,0,0,2,0,111,1,0,0,1,5,0,0,0,0,0,0,0,0,1,70,0,9,0,0,0,34,0,0,0,0,0,0,1,3,0,4,0,1,0,0,0,1,1,0,0,13,153,0,0,2,0,0,0,4,0,1,0,0,1,9,3,2,0,11,14,0
Perth College,147,Tayside,Educational Institutions,45,0,0,0,0,22,15,0,2,0,0,38,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Queen's and Lord Treasurer's Remembrancer,149,National,Non Ministerial Officeholders,4,0,0,0,0,4,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queen's Printer for Scotland,150,National,Non Ministerial Officeholders,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
