AuthorityName,authority_id,Region,Sector,FOISA requests,FOISA closed - unclear,FOISA closed - withdrawn,FOISA fees notice,FOISA - fees paid,FOISA response on time,FOISA response late,FOISA - faliure to respond,FOISA refused - cost,FOISA - vexatious,FOISA - repeated,FOISA - full release,FOISA - none released,FOISA - some released,FOISA - none held ,FOISA - no confirm/deny,EIR requests,EIR closed - unclear ,EIR closed - withdrawn,EIRs fees notice,EIRs - fees paid,EIRs response on time,EIRs response late,EIRs - failure to respond,EIR timescale extended,EIRs refused - cost,EIRs - manifestly unreasonable,EIRs - full release,EIRs - none released ,EIRs - some released,EIRs - none held,EIRs - no confirm/deny,Subject Access Requests,FOISA reviews ,FOISA review - on time,FOISA review - late response,FOISA review - failure to respond,FOISA review - wholly/partially upheld,FOISA review - substituted decision,FOISA review - decision reached ,EIRs reviews,EIRs review - on time,EIRs review - late response ,EIRs review - failure to respond,EIR review - upheld,EIR review - not upheld,Otherwise accessible,Publication Scheme ,Disclosure prohibited: enactment ,Disclosure prohibited: EU obligation,Disclosure prohibited: Contempt of Court,Future publication: 12 weeks,Future publication: programme of research,Substantial prejudice to UK relations ,Formulation/development of government policy,Ministerial communications,Advice by Law Officers,Operation of Ministerial private office,Substantial prejudice to collective responsibility of Scottish Ministers,Substantial inhibition to free and frank provision of advice,Substantial inhibition to free and frank exchange of views,Substantial prejudice to effective conduct of public affairs,National security,Substantial prejudice to defence ,Substantial prejudice to international relations,Confidential information obtained from abroad,Trade secret,Substantial prejudice to commercial interests,Substantial prejudice to the economic interests of the UK,Substantial prejudice to the financial interests of a UK administration,Information held for the purposes of a criminal investigation,Information held for ongoing Fatal Accident Inquiry,Information held regarding cause of death,Information relating to the obtaining of information from confidential sources,Information held for purposes of civil proceedings arising out of investigations,Substantial prejudice to prevention or detection of crime,Substantial prejudice to apprehension or prosecution of offenders,Substantial prejudice to administration of justice,Substantial prejudice to assessment or collection of tax or duty,Substantial prejudice to operation of immigration controls,Substantial prejudice to maintenance of security and good order in prisons,Substantial prejudice to the exercise by a public authority for any of its functions,Substantial prejudice to civil proceedings brought by an authority,Confidentiality of communications,Actionable breach of confidence,Court records,Court records: inquiry or arbitration,Personal data of the applicant,Third party personal data ,Personal census information,Deceased person's health record,Endangerment to health or safety,Environmental information ,Substantial prejudice to audit function,Communications with the Royal Family and honours,Material in course of completion,Internal Communications,Substantial prejudice to international relations public safety etc.,Substantial prejudice to course of justice etc.,Substantial prejudice to intellectual property rights,Substantial prejudice to confidentiality of proceedings,Substantial prejudice to confidentiality of commercial or industrial information ,Substantial prejudice to the interests of a third party,Substantial prejudice to the protection of the environment,Neither confirm nor deny whether environmental information held,Personal data of the applicant,Third party personal data,Neither confirm or deny whether personal data held
Assessor & Electoral Registration Officer for Dumfries and Galloway,16,Dumfries and Galloway,Local Government,9,0,0,0,0,9,0,0,0,0,0,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Fife Council,18,Fife,Local Government,22,4,2,0,0,18,0,0,0,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Grampian Valuation Joint Board & Grampian Valuation Joint Board,20,Grampian,Local Government,15,0,2,0,0,12,1,0,0,0,0,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Highland and Western Isles Valuation Joint Board,21,Highland and Islands,Local Government,4,0,0,0,0,2,2,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Lanarkshire Valuation Joint Board,22,Strathclyde,Local Government,13,0,0,0,0,12,1,0,0,0,0,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Lothian Valuation Joint Board and the Lothian Valuation Joint Board,23,Lothian and Borders,Local Government,19,1,2,1,0,18,0,0,0,0,0,9,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Scottish Borders Council,26,Lothian and Borders,Local Government,5,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Tayside Valuation Joint Board,27,Tayside,Local Government,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Audit Scotland,28,National,Others e.g. NDPBs,48,2,0,0,0,46,2,0,0,0,0,19,0,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auditor General for Scotland,29,National,Others e.g. NDPBs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ayrshire and Arran Health Board,31,Ayrshire,National Health Service,654,1,2,,,562,92,,16,,,394,38,192,18,,11,,,,,11,1,,,1,,7,,5,,,,6,6,0,0,5,1,0,0,0,0,0,0,0,30,1,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,39,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ayrshire Valuation Joint Board,32,Ayrshire,Local Government,9,,,,,9,,,,,,4,1,1,3,,0,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Board of Trustees for the National Galleries of Scotland,34,National,Others e.g. NDPBs,14,0,0,0,0,13,1,0,0,0,0,6,1,5,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Board of Trustees of the National Museums of Scotland,35,National,Others e.g. NDPBs,32,0,0,0,0,32,0,0,0,0,0,20,0,7,4,0,1,0,0,0,0,1,,,0,0,0,1,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Board of Trustees of the Royal Botanic Garden Edinburgh,36,Lothian and Borders,Others e.g. NDPBs,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bord na Gaidhlig,37,National,Others e.g. NDPBs,8,0,0,0,0,8,0,2,0,0,0,6,0,1,1,0,,,,,,,,,0,0,0,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borders College,38,Lothian and Borders,Educational Institutions,29,1,0,0,0,28,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borders Health Board,39,Lothian and Borders,National Health Service,627,2,0,0,0,609,13,0,56,0,0,307,0,231,62,0,10,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,465,3,3,0,0,2,1,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,6,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cairngorms National Park Authority,40,Highland and Islands,Others e.g. NDPBs,13,0,1,1,0,13,0,0,0,0,0,10,0,1,1,0,19,0,0,0,0,16,2,0,1,2,1,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
City of Edinburgh Council,45,Lothian and Borders,Local Government,1688,81,12,5,1,1514,150,1,99,0,1,716,369,555,315,0,992,32,3,24,2,894,124,0,17,20,15,489,205,320,181,0,358,55,41,2,0,35,6,2,85,68,9,1,33,41,134,2,10,0,0,4,0,0,0,0,0,0,0,1,5,40,0,0,0,0,0,27,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,5,6,0,0,10,70,0,0,1,0,0,0,6,2,1,17,6,2,34,1,0,0,29,99,0
City of Edinburgh Licensing Board,46,Lothian and Borders,Local Government,16,0,0,0,0,16,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clackmannanshire Council and Licensing Board,47,Central,Local Government,1146,11,4,,,1052,82,1,3,,,1060,9,8,16,2,1,,,,,,,,,,,,,,,,,7,7,0,0,3,3,1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comhairle nan Eilean Siar,51,Highland and Islands,Local Government,1120,13,5,7,0,1022,46,9,0,0,0,1024,0,5,33,0,12,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,21,12,12,0,0,9,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crofting Commission,52,National,Others e.g. NDPBs,33,,1,,,35,,,,1,,21,3,5,2,,31,1,1,1,,13,1,,,1,,7,,8,5,,4,4,3,0,0,3,0,0,7,0,0,0,1,0,3,0,0,0,0,3,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,4,0,0,0,19,0,0,2,3,0,0,0,3,0,0,0,0,7,5,0
Crown Office and Procurator Fiscal Service,53,National,Non Ministerial Officeholders,280,0,8,0,0,253,12,0,37,0,0,62,56,44,63,1,5,0,0,0,0,5,0,0,0,0,0,3,1,0,1,0,107,28,23,1,0,24,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2,1,0,0,3,2,1,2,0,0,0,0,0,0,0,0,16,2,8,0,0,3,3,9,0,0,0,0,0,0,0,1,0,18,17,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dumfries and Galloway College,55,Dumfries and Galloway,Educational Institutions,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumfries and Galloway Council,56,Dumfries and Galloway,Local Government,1231,8,8,0,0,1103,94,9,34,0,0,622,123,334,253,1,92,0,2,0,0,78,5,0,0,0,1,45,2,25,11,0,22,10,10,0,0,4,6,0,2,2,0,0,2,0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,3,5,0,0,0,106,1,0,0,0,0,0,0,0,0,2,0,3,2,0,0,0,1,10,0
Dumfries and Galloway Licensing Board,57,Dumfries and Galloway,Local Government,16,0,0,0,0,9,4,0,0,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumfries and Galloway Health Board,58,Dumfries and Galloway,National Health Service,570,2,3,,,455,102,10,13,,,364,37,95,44,1,28,,,,,26,,1,1,,,13,,1,,,500,13,13,0,0,4,4,0,1,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,19,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dunbartonshire and Argyll and Bute Valuation Joint Board and Assessor Dunbartonshire and Argyll and Bute Valuation Joint Board,59,Strathclyde,Local Government,20,,2,,,20,0,0,,,,6,3,6,4,,0,,,,,0,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dundee City Council and Licensing Board,60,Tayside,Local Government,1224,4,5,0,0,990,148,50,35,0,0,854,35,166,87,0,360,1,6,38,4,282,14,26,0,1,1,261,7,6,11,0,83,10,2,1,2,6,3,1,8,3,2,2,0,0,7,0,1,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,93,38,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
East Ayrshire Council,63,Ayrshire,Local Government,1143,7,17,4,0,1134,9,0,4,0,0,826,11,195,81,0,111,0,1,0,0,111,0,0,6,0,0,102,1,7,0,0,11,4,4,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0
East Ayrshire Licensing Board,64,Ayrshire,Local Government,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Dunbartonshire Council and Licensing Board,65,Strathclyde,Local Government,1265,50,9,0,0,1224,41,0,2,0,0,864,38,231,68,0,102,5,0,0,0,99,3,0,0,0,0,83,5,9,3,0,43,6,5,1,0,5,1,0,4,4,0,0,2,2,30,0,1,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
East Lothian Council,67,Lothian and Borders,Local Government,1291,32,6,7,0,1035,143,0,25,0,4,659,191,324,97,0,134,1,0,1,0,100,28,0,1,0,0,52,22,40,9,0,8,19,15,3,0,11,3,0,1,0,1,0,0,1,106,0,7,0,0,3,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,9,45,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1,0,0,3,0
East Lothian Licensing Board,68,Lothian and Borders,Local Government,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
