Quarter,Government body,Total requests received,Requests Processed,Requests on-hold or lapsed,Requests still being processed,Requests handled under EIRs,Total requests received (excluding on-hold and lapsed),20-day deadline met,Permitted extension to 20-day deadline,Late response (i.e. 20-day deadline missed),Percentage of requests meeting 20-day deadline,"Percentage of requests ""in time"" (i.e. meeting deadline or with permitted extension)",Total requests received (excluding on-hold and lapsed),Requests where advice and assistance provided,Requests where information not held,"Total ""resolvable"" requests",Initial Outcome Granted in full,Initial Outcome  Partially withheld,Initial Outcome  Fully withheld,Initial Outcome Response not yet provided,Percentage of resolvable requests granted in full,Percentage of resolvable requests withheld in full,Fully refused - vexatious,Fully refused - repeated,Fully refused - cost limit,Fully refused - exemption,S(22) - Information intended for future publication,S(22A) - Research intended for future publication,"S(23) - Information supplied by, or relating to, bodies dealing with security matters",S(24) - National security,S(26) - Defence,S(27) - International relations,S(28) - Relations within the United Kingdom,S(29) - The economy,S(30) - Investigations and proceedings conducted by public authorities,S(31) - Law enforcement,"S(32) - Court records, etc",S(33) - Audit functions,S(34) - Parliamentary privilege,"S(35) - Formulation of Government policy, etc",S(36) - Prejudice to effective conduct of public affairs,"S(37) - Communications with Her Majesty, etc and honours",S(38) - Health and Safety,S(39) - Environmental information,S(40) - Personal information,S(41) - Information provided in confidence,S(42) - Legal professional privilege,S(43) - Commercial interests,S(44) - Prohibitions on disclosure,3(a) - Exempt personal data,4(a) - Information not held,4(b) - Manifestly unreasonable,4(c) - Too general,4(d) - Work in progress / incomplete data,4(e) - Internal communications,"5(a) - Adverse effect on international relations, defence, national security, public safety",5(b) - Adverse effect on course of justice or conduct of enquiries,5(c) - Adverse effect on intellectual property rights,5(d) - Impinges on confidentiality of a public authority's work,5(e) - Impinges on confidentiality of commercial or industrial information,5(f) - Adverse effect on interests of person who provided the information,5(g) - Adverse effect on protection of environment to which information relates,Total exemptions and exceptions applied,Number of requests where an exemption was claimed,Total Section 21 exemptions used,S21 Partly Exempt,S21 Fully Exempt,S21 20-day deadline met,S21 Late response (i.e. 20-day deadline missed),S21 Percentage of requests meeting 20-day deadline,Total Internal Reviews,Internal Reviews with outcome known,IR number upheld in full,IR number upheld in part,IR number overturned,IR percentage upheld in full,ICO Total Complaints,ICO Complaints with known outcome,ICO Number upheld in full,ICO Number upheld in part,ICO Number overturned,ICO Percentage upheld in full,PIT Total Requests Extended,PIT Number Completed,PIT 5 or Less,PIT 6 to 10,PIT 11 to 15,PIT 16 to 20,PIT 21 to 30,PIT 31 to 40,PIT 41 to 60,PIT 61 to 80,PIT 81 to 100,PIT More than 100,IR Total Reviews Completed,IR 10 or less,IR 11 to 20,IR 21 to 40,IR 41 to 60,IR 61 to 80,IR 81 to 100,IR More than 100,PIT uncompleted prev year Total last year,PIT uncompleted prev year 5 or Less,PIT uncompleted prev year 6 to 10,PIT uncompleted prev year 11 to 15,PIT uncompleted prev year 16 to 20,PIT uncompleted prev year 21 to 30,PIT uncompleted prev year 31 to 40,PIT uncompleted prev year 41 to 60,PIT uncompleted prev year 61 to 80,PIT uncompleted prev year 81 to 100,PIT uncompleted prev year More than 100,IR uncompleted prev year Total last year,IR uncompleted prev year 10 or less,IR uncompleted prev year 11 to 20,IR uncompleted prev year 21 to 40,IR uncompleted prev year 41 to 60,IR uncompleted prev year 61 to 80,IR uncompleted prev year 81 to 100,IR uncompleted prev year More than 100
2019,Department for International Development,436,434,0,2,8,436,397,33,6,91.05504587,98.62385321,436,24,50,362,173,38,149,2,47.79005525,41.16022099,4,0,123,22,7,0,1,1,0,8,0,0,0,4,0,0,0,9,0,2,6,-,32,4,0,12,0,2,1,1,0,0,0,0,1,0,0,1,1,0,93,60,2,0,2,2,0,100,22,22,16,3,3,72.72727273,5,0,0,0,0,-,33,31,5,5,3,5,5,5,1,1,0,1,22,3,15,4,0,0,0,0,6,0,0,0,1,0,2,0,0,1,2,2,0,1,1,0,0,0,0
2019,Department for Transport,2490,2472,0,18,56,2490,2308,85,97,92.69076305,96.10441767,2490,10,409,2071,1120,296,637,18,54.08015451,30.75808788,32,10,229,366,76,0,0,12,0,3,1,0,7,68,0,0,0,50,22,0,4,-,369,41,13,119,23,9,7,5,0,5,6,1,0,0,0,9,1,0,851,662,189,103,86,184,5,97.35449735,139,122,96,7,19,78.68852459,37,0,0,0,0,-,81,79,9,11,7,15,25,8,2,2,0,0,122,8,56,35,12,3,0,8,9,0,0,0,9,0,0,0,0,0,0,4,0,1,2,1,0,0,0
2019,Department of Health and Social Care,933,928,0,5,0,933,838,32,63,89.81779207,93.24758842,933,39,341,553,183,113,252,5,33.09222423,45.56962025,3,5,177,67,20,0,0,9,0,4,0,2,0,11,3,0,1,55,5,0,5,-,96,7,5,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,180,63,17,46,61,2,96.82539683,59,59,55,0,4,93.22033898,23,0,0,0,0,-,32,31,0,0,0,2,10,3,9,3,3,1,59,7,30,18,3,0,0,1,2,0,0,0,0,0,0,0,1,0,1,15,0,0,0,0,1,1,13
2019,Department for International Trade,489,489,0,0,0,489,421,35,33,86.09406953,93.25153374,489,1,89,399,124,98,177,0,31.07769424,44.36090226,11,1,89,76,24,0,2,6,0,37,0,3,0,14,0,0,0,35,12,1,11,-,72,28,2,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,174,21,11,10,17,4,80.95238095,29,26,24,0,2,92.30769231,3,0,0,0,0,-,35,35,0,0,0,32,0,3,0,0,0,0,26,1,1,10,2,2,5,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1
2019,Debt Management Office,34,34,0,0,0,34,34,0,0,100,100,34,0,5,29,12,15,2,0,41.37931034,6.896551724,0,0,1,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,-,9,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,16,0,0,0,0,0,-,1,1,1,0,0,100,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Department for Work and Pensions,3654,3648,0,6,3,3654,3454,18,182,94.52654625,95.01915709,3654,430,515,2709,1411,156,1136,6,52.08564046,41.9342931,42,39,566,489,65,1,0,10,0,2,1,0,4,29,1,0,0,27,5,0,1,-,490,3,4,31,12,0,0,0,0,0,0,0,0,0,0,0,0,0,686,645,215,0,215,211,4,98.13953488,244,234,168,53,13,71.79487179,36,0,0,0,0,-,20,20,0,0,0,15,2,3,0,0,0,0,234,69,130,28,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,7,3,0,0,2,2
2019,Foreign and Commonwealth Office,1229,1190,0,39,8,1229,872,274,83,70.95199349,93.2465419,1229,40,267,922,217,282,384,39,23.53579176,41.64859002,19,3,198,164,28,0,74,88,6,144,1,0,1,22,4,0,0,43,2,8,28,-,239,22,16,56,0,1,0,0,0,0,0,1,0,0,1,1,0,0,786,446,31,15,16,30,1,96.77419355,99,92,77,15,0,83.69565217,17,0,0,0,0,-,278,242,13,16,28,69,25,34,23,11,10,13,92,6,44,31,8,2,1,0,49,0,0,0,0,0,4,3,4,5,33,27,0,1,6,9,4,0,7
2019,Food Standards Agency,170,169,0,1,1,170,157,11,2,92.35294118,98.82352941,170,12,34,124,73,27,23,1,58.87096774,18.5483871,0,0,16,7,1,1,0,0,0,2,0,0,9,17,0,0,0,1,1,0,5,-,13,0,1,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,63,34,2,1,1,2,0,100,2,2,1,1,0,50,0,0,0,0,0,-,11,10,0,0,0,7,0,2,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Government Legal Department,199,199,0,0,0,199,178,0,21,89.44723618,89.44723618,199,0,34,165,66,44,55,0,40,33.33333333,0,0,11,44,0,0,3,0,0,0,0,0,0,13,4,0,0,0,0,0,0,-,53,14,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,88,182,56,126,175,7,96.15384615,3,3,3,0,0,100,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,HM Revenue and Customs,2311,2307,0,4,8,2311,2199,2,110,95.15361315,95.24015578,2311,107,266,1938,800,92,1042,4,41.27966976,53.76676987,7,24,402,609,53,0,2,0,0,6,0,0,0,58,0,0,0,18,3,0,2,-,28,2,2,8,533,0,1,1,0,0,0,0,0,0,1,0,0,0,718,701,118,118,0,117,1,99.15254237,126,113,94,10,9,83.18584071,4,0,0,0,0,-,3,3,0,0,0,2,1,0,0,0,0,0,113,3,66,25,10,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
